transaction_id,customer_id,amount,customer_age,past_fraud_count,avg_spend,is_international,device_type,customer_region,category,merchant,transaction_time,is_fraud
T1048,C263,79.12,20.0,0,73.1,0,pos,South,electronics,Starbucks,2024/01/01 15:18,0
T1049,C213,20.44,48.0,0,90.85,0,pos,South,grocery,Amazon,2024-01-01 15:33:40,0
T1050,C106,349.28,68.0,0,41.73,0,mobile,West,grocery,Amazon,01/01/2024 00:42,0
T1051,C485,149.22,18.0,0,173.53,0,web,East,food,BestBuy,2024-01-01 10:25:59,0
T1052,C458,280.51,29.0,0,33.74,0,web,North,grocery,Starbucks,01/01/2024 06:50,0
T1053,C220,225.22,56.0,0,167.31,0,web,East,electronics,Amazon,2024/01/01 14:31,0
T1054,C250,91.11,,0,159.26,0,mobile,North,electronics,Amazon,01/01/2024 17:46,0
T1055,C222,254.94,59.0,0,144.92,0,web,North,,Starbucks,Jan 01 2024 17:35,0
T1056,C287,9.27,30.0,0,65.31,0,web,East,electronics,Starbucks,01/01/2024 12:51,0
T1057,C362,21.81,51.0,1,117.12,0,pos,East,,Walmart,2024-01-01 18:29:08,0
T1058,C229,4.63,59.0,0,36.13,1,web,East,electronics,Amazon,2024/01/01 23:57,0
T1059,C201,39.35,38.0,0,145.55,0,mobile,North,shopping,Amazon,01/01/2024 10:05,0
T1060,C271,49.21,39.0,0,96.3,0,web,South,electronics,BestBuy,2024-01-01 00:38:45,0
T1061,C265,31.66,21.0,1,79.53,1,pos,North,electronics,,2024-01-01 15:35:09,0
T1062,C268,176.46,35.0,0,38.81,0,pos,North,food,Walmart,02/01/2024 01:30,0
T1063,C235,44.12,22.0,0,-23.88,0,pos,North,electronics,Amazon,02/01/2024 03:12,0
T1064,C313,32.98,36.0,0,48.07,0,pos,West,grocery,Target,Jan 01 2024 23:51,0
T1065,C459,78.24,19.0,1,155.64,0,web,South,electronics,Target,01/01/2024 05:12,0
T1066,C270,15.19,29.0,0,79.86,0,pos,North,travel,Starbucks,Jan 01 2024 21:34,0
T1067,C103,162.05,34.0,0,91.53,0,pos,North,food,Walmart,Jan 01 2024 21:13,0
T1068,C287,7.75,27.0,0,132.78,0,pos,West,food,Amazon,Jan 01 2024 15:30,0
T1069,C350,433.41,51.0,0,190.28,0,web,North,,Amazon,01/01/2024 21:22,0
T1070,C318,147.95,23.0,0,166.25,0,mobile,South,travel,Amazon,Jan 01 2024 12:35,0
T1071,C326,22.15,25.0,1,51.38,0,pos,North,,BestBuy,01/01/2024 23:25,0
T1072,C283,0.55,68.0,0,2.87,0,pos,South,grocery,Target,01/01/2024 10:38,0
T1073,C330,168.99,28.0,1,217.98,0,pos,South,food,BestBuy,2024-01-01 04:33:45,0
T1074,C152,122.71,29.0,0,213.45,0,web,East,food,Amazon,01/01/2024 13:10,0
T1075,C162,130.57,26.0,0,109.42,0,web,West,travel,Amazon,2024-01-02 02:20:45,0
T1076,C361,147.52,19.0,1,36.48,1,pos,West,shopping,Walmart,2024/01/01 05:03,0
T1077,C291,384.5,25.0,1,148.16,0,mobile,West,travel,Walmart,01/01/2024 21:04,0
T1078,C431,44.39,28.0,0,94.6,0,pos,East,,,01/01/2024 19:22,0
T1079,C194,12.32,53.0,0,94.35,0,mobile,East,travel,Starbucks,2024-01-01 15:43:02,0
T1080,C464,198.85,27.0,0,144.72,0,mobile,South,shopping,Amazon,2024-01-01 14:26:58,0
T1081,C102,97.63,38.0,0,116.72,0,web,West,grocery,Walmart,01/01/2024 03:37,0
T1082,C420,40.18,37.0,0,40.71,0,web,East,grocery,Target,2024/01/02 01:29,0
T1083,C290,6.57,65.0,1,83.76,0,web,East,shopping,BestBuy,2024/01/01 15:34,0
T1084,C141,37.25,25.0,0,133.06,1,mobile,East,electronics,,2024/01/01 15:59,0
T1085,C485,39.33,,0,125.51,0,mobile,South,,Starbucks,Jan 01 2024 03:46,0
T1086,C157,130.79,46.0,0,113.1,0,mobile,North,grocery,Target,2024-01-01 19:07:50,0
T1087,C467,101.49,,0,146.67,0,web,East,travel,Starbucks,Jan 01 2024 23:46,0
T1088,C313,218.23,29.0,0,81.91,0,web,East,,,02/01/2024 00:43,0
T1089,C321,63.91,31.0,0,108.93,1,web,East,,Target,Jan 01 2024 20:52,0
T1090,C498,12.74,65.0,0,-68.78,0,pos,West,shopping,Walmart,2024/01/02 02:03,0
T1091,C377,124.91,67.0,0,77.52,0,mobile,West,travel,Starbucks,01/01/2024 06:47,0
T1092,C126,143.04,,0,138.2,0,mobile,East,,BestBuy,01/01/2024 06:02,0
T1093,C487,82.39,,0,80.48,0,pos,South,travel,BestBuy,2024-01-01 01:30:52,0
T1094,C352,147.39,38.0,0,76.69,0,mobile,North,food,Starbucks,2024-01-01 05:53:43,0
T1095,C264,68.08,61.0,0,47.93,0,mobile,West,grocery,,Jan 01 2024 20:18,0
T1096,C223,73.97,67.0,0,150.17,0,pos,North,food,Amazon,Jan 01 2024 22:16,0
T1097,C152,55.78,,0,127.42,0,mobile,East,electronics,Amazon,Jan 01 2024 08:42,0
T1098,C388,2.57,56.0,0,141.27,0,web,West,shopping,,2024/01/02 03:26,0
T1099,C176,11.42,37.0,0,13.69,0,pos,North,electronics,BestBuy,2024/01/01 23:54,0
T1100,C327,3.19,41.0,0,91.98,0,mobile,East,travel,Walmart,2024/01/01 21:32,0
T1101,C252,101.17,40.0,0,85.99,0,web,West,electronics,Amazon,2024-01-01 16:51:49,0
T1102,C382,37.74,,0,85.97,0,mobile,East,shopping,BestBuy,01/01/2024 16:33,0
T1103,C157,71.04,26.0,0,69.2,0,pos,West,grocery,BestBuy,01/01/2024 03:23,0
T1104,C411,238.13,18.0,0,82.69,0,web,North,food,,Jan 01 2024 11:26,0
T1105,C378,1433.5,43.0,1,142.48,0,mobile,North,grocery,Amazon,2024-01-01 08:17:39,0
T1106,C397,52.83,55.0,0,4.36,1,pos,West,electronics,BestBuy,2024-01-01 16:49:45,0
T1107,C185,140.87,55.0,0,188.86,0,mobile,South,travel,Starbucks,Jan 01 2024 12:00,0
T1108,C350,25.98,61.0,1,124.19,0,mobile,East,electronics,BestBuy,2024-01-01 19:37:35,0
T1109,C127,8.01,39.0,0,97.88,0,web,North,shopping,Walmart,2024/01/01 17:33,0
T1110,C207,34.21,61.0,1,145.34,0,mobile,South,shopping,Target,2024/01/01 09:44,0
T1111,C172,17.58,27.0,0,27.41,1,pos,West,travel,Amazon,2024-01-01 22:38:57,0
T1112,C132,265.5,23.0,0,66.76,1,pos,North,grocery,Walmart,2024-01-01 19:37:35,0
T1113,C424,165.09,34.0,0,93.95,0,web,North,shopping,Starbucks,2024-01-01 06:08:40,0
T1114,C435,100.35,68.0,0,168.28,0,web,East,shopping,Target,Jan 01 2024 18:21,0
T1115,C331,205.15,67.0,0,97.68,0,mobile,South,travel,BestBuy,01/01/2024 16:57,0
T1116,C490,162.8,55.0,0,122.5,0,pos,East,,,Jan 01 2024 11:13,0
T1117,C224,20.65,41.0,0,70.52,0,web,West,electronics,BestBuy,01/01/2024 03:21,0
T1118,C358,223.08,,0,124.34,0,mobile,North,food,Walmart,Jan 01 2024 20:42,0
T1119,C132,77.51,27.0,0,183.86,0,mobile,South,travel,Amazon,2024/01/01 14:00,0
T1120,C375,164.73,25.0,0,149.78,1,pos,East,grocery,BestBuy,2024/01/01 07:50,0
T1121,C273,226.42,38.0,1,95.93,1,pos,South,food,Amazon,2024/01/01 12:41,1
T1122,C449,38.27,23.0,0,133.77,1,mobile,West,travel,Walmart,2024-01-01 06:32:55,0
T1123,C415,11.66,38.0,0,128.88,0,pos,North,electronics,BestBuy,Jan 01 2024 19:37,0
T1124,C276,25.87,56.0,0,125.33,0,mobile,South,electronics,Target,2024-01-01 14:37:36,0
T1125,C444,55.71,41.0,0,155.6,0,mobile,West,grocery,Starbucks,Jan 01 2024 08:08,0
T1126,C329,170.38,50.0,0,155.22,0,pos,West,grocery,BestBuy,2024-01-01 03:54:22,0
T1127,C293,197.13,,0,93.64,0,web,North,,,2024/01/01 12:04,0
T1128,C326,0.7,45.0,0,132.09,0,mobile,East,,,02/01/2024 00:18,0
T1129,C457,71.49,69.0,0,80.85,0,pos,North,travel,Amazon,2024-01-01 02:57:01,0
T1130,C359,54.03,49.0,0,53.85,0,mobile,North,grocery,Walmart,2024/01/01 17:17,0
T1131,C490,25.12,29.0,0,86.53,0,mobile,South,food,Starbucks,2024-01-01 06:21:41,0
T1132,C162,12.77,65.0,0,96.19,0,mobile,South,electronics,Amazon,2024/01/01 11:01,0
T1133,C462,41.19,59.0,0,16.92,0,pos,East,food,BestBuy,2024/01/01 03:47,0
T1134,C253,286.31,,0,143.02,0,pos,West,grocery,Walmart,01/01/2024 07:42,0
T1135,C292,39.04,27.0,0,-38.37,0,pos,South,,Target,Jan 01 2024 18:18,0
T1136,C439,73.15,63.0,0,235.74,1,web,East,,BestBuy,2024/01/01 11:21,0
T1137,C221,121.41,69.0,0,175.09,0,mobile,North,electronics,Starbucks,2024/01/01 13:57,0
T1138,C495,45.2,,1,86.95,0,web,West,grocery,Walmart,2024/01/02 02:37,0
T1139,C365,356.78,49.0,0,100.47,0,mobile,North,grocery,BestBuy,Jan 01 2024 15:31,0
T1140,C459,328.2,59.0,1,115.15,0,pos,West,electronics,Amazon,01/01/2024 21:04,0
T1141,C136,29.01,43.0,0,70.54,0,mobile,South,,Amazon,01/01/2024 16:22,0
T1142,C447,68.77,42.0,0,109.63,1,mobile,North,shopping,Amazon,02/01/2024 00:19,0
T1143,C251,35.79,28.0,0,92.8,1,mobile,North,shopping,BestBuy,2024-01-01 10:33:30,0
T1144,C142,33.52,40.0,0,95.29,0,web,West,shopping,Starbucks,01/01/2024 18:59,0
T1145,C442,3.76,51.0,0,109.07,0,pos,East,travel,Amazon,Jan 01 2024 03:14,0
T1146,C302,94.05,69.0,0,34.32,0,pos,West,electronics,BestBuy,2024-01-01 20:29:10,0
T1147,C470,69.85,57.0,0,101.98,0,mobile,South,electronics,BestBuy,2024-01-01 10:57:10,0
T1148,C250,5.29,40.0,0,108.17,0,pos,East,electronics,Starbucks,2024-01-01 14:35:00,0
T1149,C223,32.66,46.0,0,106.44,0,web,North,shopping,Walmart,Jan 01 2024 22:29,0
T1150,C141,238.89,48.0,0,89.21,0,web,North,shopping,Walmart,2024-01-01 02:31:50,0
T1151,C315,27.39,24.0,0,156.89,0,pos,North,grocery,BestBuy,2024/01/01 21:01,0
T1152,C430,15.65,,0,82.32,0,web,South,travel,Walmart,Jan 01 2024 09:12,0
T1153,C136,67.23,50.0,0,111.37,0,web,North,electronics,Target,Jan 01 2024 22:28,0
T1154,C278,424.4,38.0,0,164.86,0,pos,North,travel,Starbucks,2024/01/01 10:53,0
T1155,C308,27.71,19.0,0,96.03,0,pos,East,electronics,BestBuy,2024/01/01 07:10,0
T1156,C417,111.52,,0,110.72,0,mobile,South,shopping,Walmart,01/01/2024 11:42,0
T1157,C386,143.39,64.0,0,95.18,0,mobile,North,shopping,Walmart,2024/01/01 07:17,0
T1158,C278,27.13,50.0,0,161.87,0,web,East,electronics,Starbucks,01/01/2024 06:40,0
T1159,C448,130.27,54.0,0,87.11,0,pos,North,food,Amazon,01/01/2024 22:33,0
T1160,C499,45.85,51.0,0,164.17,0,web,East,shopping,Walmart,2024/01/01 12:15,0
T1161,C399,100.05,37.0,0,94.82,0,pos,North,grocery,Starbucks,2024-01-01 03:12:24,0
T1162,C134,100.38,52.0,0,57.03,0,web,South,shopping,Amazon,01/01/2024 03:05,0
T1163,C495,76.74,68.0,0,133.97,0,web,West,grocery,BestBuy,2024-01-01 18:11:31,0
T1164,C135,9.46,67.0,1,84.77,0,web,South,travel,,2024-01-01 06:21:09,0
T1165,C443,180.36,35.0,2,131.03,0,mobile,East,shopping,Walmart,2024/01/01 08:12,0
T1166,C395,38.68,63.0,0,-36.47,0,pos,North,shopping,BestBuy,02/01/2024 03:41,0
T1167,C266,20.64,41.0,0,100.26,0,web,South,travel,BestBuy,2024/01/01 05:02,0
T1168,C340,4.16,,1,77.02,1,mobile,North,grocery,Amazon,2024-01-02 00:17:05,1
T1169,C258,4469.0,47.0,1,46.84,0,web,South,food,BestBuy,2024-01-01 02:55:56,0
T1170,C341,113.19,61.0,0,72.34,0,web,East,grocery,Amazon,2024/01/01 07:55,0
T1171,C281,1.67,27.0,0,71.31,0,pos,West,electronics,Amazon,2024-01-01 14:33:16,0
T1172,C127,71.76,40.0,0,97.6,0,web,South,electronics,Amazon,2024-01-01 22:54:23,0
T1173,C393,25.68,69.0,0,31.63,0,pos,North,electronics,Starbucks,2024-01-01 03:11:03,0
T1174,C269,103.61,66.0,0,115.81,0,mobile,North,travel,,01/01/2024 12:23,0
T1175,C430,19.16,28.0,0,168.31,0,mobile,North,grocery,BestBuy,01/01/2024 08:29,0
T1176,C369,117.42,19.0,0,114.05,0,web,East,,Target,2024-01-01 04:00:10,0
T1177,C390,48.9,43.0,0,140.45,0,mobile,East,electronics,,02/01/2024 00:26,0
T1178,C353,276.03,53.0,0,154.73,0,pos,West,grocery,Target,Jan 01 2024 16:08,0
T1179,C118,14.79,50.0,0,161.82,1,pos,North,shopping,Amazon,Jan 01 2024 04:32,0
T1180,C429,41.71,64.0,0,193.51,0,mobile,West,grocery,BestBuy,2024-01-01 09:33:08,0
T1181,C256,12.04,30.0,0,75.04,0,pos,North,travel,Walmart,01/01/2024 04:09,0
T1182,C462,258.62,57.0,0,64.08,1,pos,South,electronics,Target,01/01/2024 20:37,0
T1183,C401,209.83,42.0,0,139.17,0,web,South,food,Target,Jan 02 2024 02:17,0
T1184,C315,29.83,21.0,0,135.41,0,web,South,electronics,Target,2024-01-01 11:16:36,0
T1185,C162,107.88,59.0,0,138.78,1,pos,North,,Walmart,01/01/2024 23:00,0
T1186,C222,169.95,,0,194.46,0,mobile,South,travel,Starbucks,2024/01/01 16:27,0
T1187,C450,81.01,35.0,0,100.57,0,pos,North,shopping,Amazon,2024/01/02 02:09,0
T1188,C403,75.43,,0,121.31,0,web,West,electronics,BestBuy,2024/01/01 13:45,0
T1189,C206,27.69,47.0,0,50.98,0,mobile,East,shopping,Target,2024/01/01 11:49,0
T1190,C223,9.77,36.0,0,206.77,0,pos,South,shopping,Walmart,Jan 01 2024 10:03,0
T1191,C473,227.51,40.0,0,83.17,0,mobile,North,travel,Target,2024-01-02 02:29:38,0
T1192,C148,230.68,33.0,2,84.59,1,mobile,North,electronics,Walmart,01/01/2024 00:39,0
T1193,C103,100.27,18.0,0,82.66,1,mobile,West,,Starbucks,02/01/2024 02:51,0
T1194,C200,41.4,29.0,1,67.76,1,pos,West,travel,Target,02/01/2024 00:47,0
T1195,C476,42.96,41.0,0,63.53,0,web,East,food,Target,01/01/2024 07:37,0
T1196,C181,129.45,,0,73.81,1,mobile,West,travel,,2024-01-01 09:11:25,0
T1197,C382,227.41,25.0,0,31.71,0,mobile,East,food,Walmart,01/01/2024 06:22,0
T1198,C263,218.11,35.0,1,60.73,0,pos,East,shopping,Walmart,Jan 01 2024 21:43,0
T1199,C295,151.36,65.0,0,197.45,0,web,West,shopping,Starbucks,2024-01-01 02:28:16,0
T1200,C280,102.73,22.0,0,136.78,0,web,East,grocery,Target,01/01/2024 03:49,0
T1201,C393,8.79,43.0,0,146.3,0,pos,South,grocery,BestBuy,2024/01/01 16:13,0
T1202,C174,17.63,47.0,1,158.86,0,mobile,East,shopping,Amazon,Jan 02 2024 01:49,0
T1203,C388,228.82,30.0,0,191.71,0,pos,North,electronics,BestBuy,2024-01-01 23:56:04,0
T1204,C249,93.25,36.0,0,11.43,0,web,North,grocery,BestBuy,2024-01-01 14:56:45,0
T1205,C378,0.92,46.0,1,38.51,0,mobile,North,travel,BestBuy,01/01/2024 11:00,0
T1206,C241,10.7,20.0,0,59.81,1,mobile,West,grocery,BestBuy,Jan 01 2024 12:04,0
T1207,C438,108.92,43.0,0,76.51,0,web,North,shopping,Target,01/01/2024 08:51,0
T1208,C142,0.51,57.0,0,84.97,0,mobile,West,electronics,BestBuy,Jan 01 2024 19:19,0
T1209,C451,17.53,29.0,0,77.65,0,pos,North,shopping,Walmart,01/01/2024 21:32,0
T1210,C133,79.57,19.0,0,110.97,0,web,East,electronics,,2024-01-02 01:52:16,0
T1211,C369,117.73,28.0,0,101.76,1,web,West,grocery,BestBuy,2024/01/01 13:14,0
T1212,C485,105.54,61.0,0,63.86,0,mobile,North,travel,Walmart,Jan 02 2024 00:02,0
T1213,C210,25.39,45.0,0,-8.78,0,web,East,travel,Target,01/01/2024 14:14,0
T1214,C104,124.54,35.0,0,50.36,0,pos,West,shopping,Amazon,2024-01-01 03:52:30,0
T1215,C201,27.08,30.0,0,72.54,1,web,East,electronics,BestBuy,Jan 01 2024 08:16,0
T1216,C466,39.36,54.0,0,87.65,0,mobile,East,grocery,Walmart,Jan 01 2024 14:25,0
T1217,C368,137.24,39.0,0,43.52,0,web,East,electronics,Walmart,Jan 01 2024 15:59,0
T1218,C163,104.88,29.0,0,75.46,0,mobile,West,electronics,Target,01/01/2024 06:49,0
T1219,C247,189.2,19.0,0,43.45,0,mobile,West,electronics,Target,Jan 01 2024 13:24,0
T1220,C242,107.18,54.0,0,93.71,1,pos,South,grocery,Amazon,2024/01/01 05:33,0
T1221,C197,84.0,,1,46.35,1,web,South,electronics,Starbucks,Jan 01 2024 13:12,0
T1222,C488,9.84,43.0,1,57.55,1,pos,South,travel,Starbucks,Jan 01 2024 16:40,1
T1223,C212,45.84,43.0,0,34.57,1,pos,South,shopping,Starbucks,Jan 01 2024 11:44,0
T1224,C456,30.82,41.0,0,92.32,0,web,West,food,Amazon,01/01/2024 10:36,0
T1225,C222,27.97,29.0,0,56.68,0,pos,South,electronics,BestBuy,Jan 01 2024 12:00,0
T1226,C154,361.23,33.0,0,145.34,0,pos,North,travel,Starbucks,01/01/2024 13:39,0
T1227,C202,49.94,40.0,0,120.29,0,mobile,South,travel,Starbucks,Jan 01 2024 14:18,0
T1228,C126,222.61,57.0,1,96.51,0,pos,North,shopping,Walmart,01/01/2024 09:49,0
T1229,C124,99.73,26.0,1,60.13,0,web,North,shopping,Walmart,01/01/2024 01:35,0
T1230,C222,158.38,49.0,0,119.03,1,mobile,East,food,,2024/01/01 06:39,0
T1231,C411,69.84,32.0,0,134.54,0,pos,East,food,Target,Jan 01 2024 14:00,0
T1232,C245,86.02,54.0,0,107.13,1,pos,East,food,Amazon,Jan 01 2024 00:49,0
T1233,C194,67.83,30.0,0,180.19,0,web,South,,Starbucks,2024-01-02 02:19:36,0
T1234,C400,21.72,22.0,0,122.98,0,pos,West,grocery,Amazon,Jan 01 2024 12:14,0
T1235,C292,128.18,28.0,0,145.68,0,web,North,travel,Walmart,02/01/2024 02:47,0
T1236,C243,32.96,27.0,0,106.68,0,pos,West,shopping,Amazon,01/01/2024 20:18,0
T1237,C334,2.46,69.0,1,133.78,0,pos,West,electronics,Walmart,01/01/2024 05:23,0
T1238,C224,103.7,30.0,0,60.16,0,web,South,,Amazon,Jan 01 2024 15:49,0
T1239,C277,19.49,58.0,0,77.08,0,mobile,West,grocery,Walmart,2024/01/01 11:06,0
T1240,C361,282.11,63.0,1,117.47,0,web,West,travel,Amazon,02/01/2024 02:52,0
T1241,C290,307.76,67.0,0,117.1,0,mobile,East,,Starbucks,01/01/2024 05:43,0
T1242,C457,246.35,32.0,0,125.38,0,mobile,East,food,Starbucks,Jan 01 2024 12:34,0
T1243,C169,46.23,59.0,1,155.02,0,web,North,food,BestBuy,01/01/2024 01:07,0
T1244,C136,1.56,24.0,0,28.75,0,web,North,grocery,Amazon,2024/01/01 10:17,0
T1245,C301,263.55,57.0,0,51.28,0,pos,East,travel,Target,2024/01/01 13:09,0
T1246,C196,55.89,45.0,0,111.48,0,pos,South,shopping,BestBuy,2024/01/01 19:18,0
T1247,C182,340.08,49.0,0,63.78,0,mobile,South,grocery,Amazon,2024/01/01 05:11,0
T1248,C232,331.37,52.0,1,268.89,0,pos,North,shopping,Target,01/01/2024 01:45,0
T1249,C483,191.74,32.0,1,125.79,0,web,East,electronics,Starbucks,2024/01/01 10:03,0
T1250,C145,34.88,65.0,0,96.08,0,mobile,South,,Starbucks,01/01/2024 23:02,0
T1251,C106,48.63,53.0,0,74.23,0,pos,West,electronics,Starbucks,2024-01-01 17:19:08,0
T1252,C150,190.47,,0,75.99,0,pos,North,travel,Target,Jan 01 2024 18:36,0
T1253,C475,38.11,23.0,0,101.51,0,web,North,grocery,,01/01/2024 19:37,0
T1254,C240,18.57,,0,105.6,0,web,West,shopping,,Jan 01 2024 08:45,0
T1255,C116,81.37,21.0,0,77.17,0,pos,West,travel,BestBuy,Jan 01 2024 17:26,0
T1256,C145,275.13,28.0,0,86.34,0,mobile,North,travel,BestBuy,01/01/2024 14:47,0
T1257,C169,119.08,61.0,0,167.21,0,mobile,West,shopping,Starbucks,Jan 01 2024 02:08,0
T1258,C494,84.41,43.0,0,169.23,1,web,South,food,Walmart,Jan 01 2024 18:31,0
T1259,C461,10.22,,0,112.6,0,web,North,food,Amazon,01/01/2024 06:50,0
T1260,C378,95.45,40.0,0,32.94,1,web,South,electronics,Amazon,02/01/2024 00:33,0
T1261,C490,461.06,46.0,0,126.93,0,pos,North,travel,BestBuy,2024/01/01 23:47,0
T1262,C139,15.09,38.0,0,177.71,0,pos,South,grocery,BestBuy,2024/01/01 18:08,0
T1263,C192,73.05,65.0,0,168.49,0,web,East,grocery,BestBuy,2024-01-02 02:49:41,0
T1264,C356,209.86,62.0,0,136.72,0,mobile,South,travel,Amazon,01/01/2024 04:19,0
T1265,C278,135.0,62.0,0,171.12,0,web,West,food,BestBuy,2024-01-01 11:09:36,0
T1266,C324,119.41,66.0,0,102.67,0,web,East,travel,Amazon,2024-01-01 03:13:22,0
T1267,C208,121.23,44.0,0,131.41,0,mobile,North,electronics,,2024/01/01 15:40,0
T1268,C367,44.55,56.0,0,65.96,0,mobile,South,travel,Walmart,01/01/2024 21:18,0
T1269,C483,34.76,,0,114.61,0,mobile,North,shopping,BestBuy,Jan 01 2024 17:22,0
T1270,C252,165.74,,0,166.48,0,mobile,East,food,Amazon,Jan 01 2024 21:53,0
T1271,C293,166.13,40.0,0,70.53,0,pos,West,shopping,,01/01/2024 06:24,0
T1272,C396,201.8,33.0,0,56.93,0,pos,West,shopping,,2024-01-01 10:09:24,0
T1273,C461,12223.0,47.0,0,104.87,0,web,West,travel,,2024/01/01 19:09,0
T1274,C112,71.61,21.0,0,88.67,0,pos,North,,Walmart,2024/01/01 02:17,0
T1275,C439,69.62,57.0,0,132.46,0,web,West,grocery,Starbucks,Jan 02 2024 02:13,0
T1276,C241,160.09,33.0,0,77.34,0,web,West,shopping,BestBuy,2024/01/01 21:25,0
T1277,C276,104.97,48.0,0,185.92,0,mobile,North,travel,BestBuy,2024/01/01 03:32,0
T1278,C199,121.06,59.0,0,35.52,0,mobile,North,grocery,Target,Jan 01 2024 01:14,0
