transaction_id,customer_id,amount,customer_age,past_fraud_count,avg_spend,is_international,device_type,customer_region,category,merchant,transaction_time,is_fraud
T5545,C342,167.06,25.0,0,136.2,1,web,west,shopping,target,2024-01-01 09:13:23,0
T2948,C438,39.78,64.0,2,135.09,0,web,south,food,walmart,2024-02-01 00:47:44,0
T4308,C379,46.14,43.0,2,113.08,0,mobile,north,travel,starbucks,2024-01-01 01:28:10,0
T5634,C181,70.865,34.0,0,107.84,1,web,north,electronics,starbucks,2024-01-01 12:00:00,0
T2002,C369,206.31,68.0,1,99.64,1,web,south,food,unknown,2024-02-01 01:17:00,0
T5362,C458,144.26,43.0,2,87.56,0,pos,west,food,bestbuy,2024-02-01 02:01:26,0
T1426,C415,58.26,33.0,0,84.51,1,pos,south,electronics,amazon,2024-01-01 05:40:00,0
T5380,C469,6.4,57.0,2,127.56,0,web,west,unknown,walmart,2024-01-01 00:41:00,0
T5169,C130,10.16,43.0,1,23.45,1,web,north,travel,amazon,2024-01-01 23:41:51,0
T2642,C450,73.6,30.0,1,27.14,1,mobile,east,unknown,walmart,2024-01-01 20:09:43,0
T4142,C117,87.81,43.0,2,37.5,1,mobile,south,travel,bestbuy,2024-01-01 16:21:20,0
T5784,C132,54.02,44.0,1,147.87,1,pos,east,travel,starbucks,2024-01-01 16:08:00,0
T1841,C475,108.93,32.0,1,208.86,0,web,north,electronics,amazon,2024-01-01 00:43:00,0
T4182,C391,37.08,32.0,1,30.85,1,web,south,unknown,amazon,2024-01-01 04:48:00,0
T2325,C164,41.08,19.0,0,92.31,1,web,west,shopping,amazon,2024-01-01 09:40:00,0
T1424,C461,5.93,40.0,1,98.0,1,mobile,west,grocery,bestbuy,2024-01-01 05:30:00,0
T4634,C460,9.85,43.0,2,82.94,0,pos,north,travel,walmart,2024-01-01 08:15:56,0
T4769,C456,12.4,37.0,1,99.21,1,web,east,travel,amazon,2024-01-02 00:12:00,0
T5162,C238,79.6,21.0,1,124.06,1,mobile,north,food,starbucks,2024-01-01 07:18:00,0
T3965,C498,120.79,18.0,0,147.19,1,pos,north,food,amazon,2024-01-01 13:23:11,0
T5100,C261,99.8,38.0,2,47.06,0,pos,north,travel,starbucks,2024-01-01 05:01:00,0
T5216,C270,4.25,39.0,2,103.62,0,web,west,unknown,bestbuy,2024-01-01 12:49:00,0
T5113,C304,9.42,68.0,1,133.15,1,web,north,electronics,amazon,2024-01-01 07:03:00,0
T5122,C136,119.68,43.0,2,139.53,0,mobile,south,grocery,bestbuy,2024-01-01 13:19:00,0
T3731,C200,64.21,28.0,2,183.76,0,mobile,west,travel,walmart,2024-01-01 10:04:00,0
T2397,C417,28.6,36.0,0,167.67,1,web,west,electronics,amazon,2024-01-02 01:09:00,0
T1498,C169,70.865,18.0,0,84.62,1,pos,south,electronics,starbucks,2024-01-01 02:01:33,0
T2704,C252,57.89,42.0,2,225.16,0,pos,east,travel,amazon,2024-01-01 03:33:00,0
