,transaction_id,customer_id,amount,customer_age,past_fraud_count,avg_spend,is_international,device_type,customer_region,category,merchant,transaction_time,is_fraud
462,T1462,C141,137.06,44.0,1,158.8,1,pos,East,electronics,BestBuy,2024-01-01 23:28:00,1
463,T1463,C430,87.56,68.0,2,156.74,0,web,West,food,Target,2024-01-01 10:54:00,0
465,T1465,C331,46.98,25.0,2,125.43,0,mobile,West,electronics,Amazon,2024-01-01 17:59:00,0
468,T1468,C129,25.31,66.0,1,105.92,0,pos,West,food,Target,2024-01-01 07:59:00,0
470,T1470,C140,1.22,31.0,1,108.56,1,web,North,food,Starbucks,2024-01-01 02:00:00,1
473,T1473,C331,221.77,38.0,1,180.25,0,web,South,travel,Target,2024-01-01 11:00:00,0
485,T1485,C391,231.42,67.0,1,116.43,0,pos,East,food,Starbucks,2024-01-01 16:01:44,0
503,T1503,C462,168.09,33.0,1,164.8,0,web,West,electronics,Starbucks,2024-02-01 02:44:44,0
513,T1513,C474,201.04,35.0,1,105.08,0,mobile,North,grocery,Walmart,2024-01-01 17:58:00,0
538,T1538,C136,59.88,65.0,1,225.42,0,pos,North,electronics,Walmart,2024-01-01 23:32:00,0
541,T1541,C134,93.18,68.0,1,83.47,0,pos,South,electronics,Walmart,2024-01-01 05:27:00,0
554,T1554,C291,209.28,26.0,1,125.49,1,web,East,electronics,Walmart,2024-01-01 11:42:00,0
557,T1557,C439,2.92,64.0,1,96.76,0,pos,East,electronics,BestBuy,2024-01-01 14:06:00,0
562,T1562,C224,14.66,22.0,1,113.35,0,web,West,grocery,Starbucks,2024-01-01 12:21:00,0
572,T1572,C314,50.51,55.0,1,177.4,0,mobile,West,shopping,Walmart,2024-01-01 21:36:00,0
590,T1590,C259,14.95,35.0,1,50.47,0,mobile,North,food,Amazon,2024-01-01 13:12:00,0
598,T1598,C250,21.36,18.0,1,84.78,0,mobile,West,shopping,Amazon,2024-02-01 01:33:32,0
608,T1608,C196,70.0,36.0,1,121.44,0,web,North,shopping,Starbucks,2024-01-01 21:08:00,0
609,T1609,C290,117.25,62.0,1,27.2,0,mobile,North,shopping,Target,2024-01-01 23:55:00,0
613,T1613,C415,8.53,38.0,1,177.49,1,pos,West,Unknown,Target,2024-01-01 12:14:00,0
621,T1621,C422,23.49,39.0,1,102.2,0,mobile,North,food,Target,2024-01-01 04:46:00,0
633,T1633,C374,75.95,61.0,1,34.98,0,mobile,North,food,Target,2024-01-01 12:13:00,0
634,T1634,C288,11.34,25.0,1,171.69,0,web,West,travel,Starbucks,2024-01-01 22:27:00,0
640,T1640,C378,2.03,55.0,1,48.5,0,pos,West,Unknown,Target,2024-01-01 01:12:00,0
648,T1648,C180,155.67,43.0,1,38.72,0,pos,South,Unknown,Target,2024-01-01 02:38:00,0
650,T1650,C188,9.09,45.0,1,99.08,1,web,South,food,Amazon,2024-01-01 10:57:00,0
659,T1659,C348,84.58,60.0,1,17.22,0,web,South,electronics,BestBuy,2024-01-01 12:59:00,0
662,T1662,C342,93.08,48.0,1,53.69,0,web,North,electronics,Target,2024-01-01 22:26:00,0
664,T1664,C160,70.865,65.0,1,70.03,0,mobile,North,electronics,BestBuy,2024-01-01 13:41:00,0
665,T1665,C446,16.59,37.0,1,161.77,0,mobile,East,electronics,Walmart,2024-01-01 17:48:00,0
667,T1667,C392,17.52,21.0,1,186.42,0,web,West,travel,Amazon,2024-01-01 13:18:13,0
670,T1670,C456,19.04,42.0,1,103.41,0,web,West,travel,Walmart,2024-01-01 15:13:00,0
681,T1681,C498,29.83,29.0,1,136.36,1,web,South,travel,Amazon,2024-01-01 11:50:00,0
688,T1688,C126,146.75,61.0,1,82.62,1,pos,West,food,BestBuy,2024-01-01 00:48:00,0
691,T1691,C199,55.41,24.0,1,69.42,0,mobile,South,electronics,Target,2024-01-01 01:20:00,0
707,T1707,C442,166.01,67.0,1,61.99,0,web,East,electronics,Starbucks,2024-01-01 23:55:00,0
714,T1714,C327,42.9,39.0,1,103.61,0,pos,West,food,Walmart,2024-02-01 00:03:28,0
715,T1715,C442,265.26,27.0,1,71.89,0,web,North,shopping,BestBuy,2024-01-01 07:39:00,0
722,T1722,C375,6.88,24.0,1,85.79,0,mobile,West,food,Amazon,2024-01-01 00:53:00,0
724,T1724,C143,85.44,19.0,1,132.28,1,pos,South,grocery,Starbucks,2024-01-01 04:53:54,0
728,T1728,C454,22.52,43.0,1,106.03,0,pos,East,grocery,Target,2024-01-01 22:23:00,0
733,T1733,C315,74.04,22.0,1,161.89,0,pos,North,food,BestBuy,2024-01-01 10:31:00,0
738,T1738,C424,57.83,30.0,1,59.1,0,pos,East,travel,Starbucks,2024-01-01 09:48:00,0
745,T1745,C336,229.83,52.0,1,100.96,1,web,East,food,Amazon,2024-01-01 04:44:00,1
749,T1749,C182,97.88,57.0,1,105.23,0,web,South,travel,Walmart,2024-01-01 22:20:00,0
751,T1751,C178,281.06,52.0,1,51.22,0,mobile,West,electronics,Walmart,2024-01-01 13:31:00,0
752,T1752,C152,98.81,48.0,1,138.4,1,mobile,North,grocery,Amazon,2024-01-01 19:03:00,0
755,T1755,C363,158.0,57.0,1,94.56,0,mobile,West,grocery,BestBuy,2024-01-01 04:49:00,0
760,T1760,C358,16.45,30.0,1,123.43,0,pos,North,food,BestBuy,2024-01-01 09:18:09,0
761,T1761,C142,37.36,44.0,1,107.61,0,pos,East,food,Target,2024-01-01 20:20:00,0
788,T1788,C110,61.99,56.0,1,114.96,0,pos,East,food,Amazon,2024-01-01 11:08:00,0
797,T1797,C377,83.27,33.0,1,82.51,0,mobile,South,shopping,Walmart,2024-01-01 19:41:53,0
798,T1798,C453,119.29,62.0,2,90.96,0,web,South,electronics,BestBuy,2024-02-01 02:03:20,0
818,T1818,C469,5.63,58.0,1,65.52,0,pos,East,grocery,BestBuy,2024-01-01 23:32:00,0
824,T1824,C320,77.09,42.0,1,44.81,0,pos,West,food,Target,2024-01-01 08:30:00,0
828,T1828,C446,133.75,34.0,1,128.72,0,mobile,West,grocery,Walmart,2024-01-02 00:49:00,0
831,T1831,C400,60.23,43.0,1,115.45,0,pos,West,food,Amazon,2024-01-01 02:19:00,0
835,T1835,C329,70.865,23.0,1,103.69,0,pos,East,electronics,Starbucks,2024-01-01 23:50:00,0
840,T1840,C278,1.32,42.0,1,75.41,1,mobile,West,Unknown,Amazon,2024-01-01 19:10:00,0
841,T1841,C475,108.93,32.0,1,208.86,0,web,North,electronics,Amazon,2024-01-01 00:43:00,0
845,T1845,C257,53.55,54.0,1,113.06,0,mobile,North,electronics,Amazon,2024-01-01 03:37:35,0
849,T1849,C476,90.48,39.0,1,182.94,0,mobile,West,shopping,Amazon,2024-01-01 03:01:00,0
858,T1858,C244,83.2,68.0,1,58.75,0,pos,West,shopping,Target,2024-01-01 17:02:33,0
874,T1874,C379,2.57,47.0,1,58.75,0,pos,East,travel,Starbucks,2024-01-01 02:36:00,0
881,T1881,C151,111.44,62.0,1,27.5,0,pos,East,Unknown,Target,2024-01-01 05:19:00,0
883,T1883,C282,10.99,41.0,1,59.39,0,web,South,electronics,Walmart,2024-01-01 13:35:00,0
894,T1894,C206,110.29,40.0,1,132.14,0,mobile,North,shopping,BestBuy,2024-01-01 08:20:00,0
900,T1900,C228,23.31,65.0,2,73.87,0,mobile,North,shopping,BestBuy,2024-01-01 07:45:00,0
901,T1901,C415,2.69,48.0,1,27.44,0,pos,West,food,BestBuy,2024-01-01 15:24:06,0
903,T1903,C200,87.48,26.0,1,52.65,0,web,North,shopping,Walmart,2024-01-01 14:49:00,0
904,T1904,C468,54.72,46.0,1,122.57,0,pos,East,travel,Amazon,2024-01-01 06:49:00,0
907,T1907,C364,41.83,21.0,1,141.9,0,web,South,electronics,Walmart,2024-01-01 10:37:07,0
919,T1919,C427,15.1,48.0,1,79.62,0,web,South,Unknown,Unknown,2024-01-01 16:21:00,0
932,T1932,C149,70.865,45.0,1,127.33,0,mobile,East,travel,Walmart,2024-01-01 13:14:00,0
935,T1935,C323,31.79,42.0,1,124.56,0,pos,West,travel,BestBuy,2024-01-01 22:37:00,0
938,T1938,C291,12.53,37.0,1,29.82,0,web,East,electronics,Amazon,2024-01-01 13:03:00,0
939,T1939,C484,85.92,20.0,1,147.46,0,web,North,Unknown,Target,2024-01-01 04:49:01,0
943,T1943,C325,177.04,61.0,1,96.06,0,web,West,electronics,Target,2024-01-01 19:45:00,0
959,T1959,C495,133.95,65.0,1,76.85,0,web,East,electronics,Target,2024-01-01 04:14:00,0
960,T1960,C352,8.64,66.0,1,153.77,0,web,South,shopping,Walmart,2024-01-01 08:44:31,0
961,T1961,C179,92.42,20.0,1,155.52,0,mobile,East,travel,Amazon,2024-01-01 02:09:00,0
962,T1962,C380,28.15,27.0,1,154.13,0,mobile,East,grocery,Amazon,2024-01-01 02:25:41,0
964,T1964,C301,34.07,63.0,1,91.58,0,pos,North,grocery,BestBuy,2024-01-01 14:15:00,0
966,T1966,C483,126.96,38.0,1,31.46,0,mobile,South,shopping,BestBuy,2024-01-01 13:44:00,0
969,T1969,C484,64.64,43.0,1,114.2,0,web,North,shopping,Walmart,2024-01-02 01:03:00,0
974,T1974,C380,3.17,32.0,2,133.67,0,mobile,South,electronics,BestBuy,2024-01-01 13:51:00,0
979,T1979,C170,90.84,20.0,1,174.14,0,mobile,West,travel,Amazon,2024-01-01 03:38:00,0
985,T1985,C252,68.42,60.0,2,122.74,0,pos,North,food,BestBuy,2024-01-01 17:34:45,0
986,T1986,C257,116.6,38.0,1,99.45,0,pos,South,travel,Unknown,2024-02-01 00:45:06,0
990,T1990,C337,160.65,43.0,1,162.94,0,pos,West,travel,Amazon,2024-01-01 02:33:00,0
1002,T2002,C369,206.31,68.0,1,99.64,1,web,South,food,Unknown,2024-02-01 01:17:00,0
1037,T2037,C220,129.01,44.0,1,139.3,0,pos,South,grocery,Target,2024-01-01 20:17:00,0
1039,T2039,C222,37.88,30.0,1,73.81,0,pos,South,shopping,Unknown,2024-01-01 03:12:33,0
1041,T2041,C303,156.41,46.0,1,115.66,0,mobile,South,electronics,Unknown,2024-01-01 10:08:00,0
1047,T2047,C113,2.47,25.0,2,103.71,0,pos,West,electronics,Target,2024-01-01 20:50:40,0
1049,T2049,C123,2.15,43.0,1,149.5,0,web,North,travel,BestBuy,2024-02-01 02:19:00,0
1052,T2052,C373,279.8,24.0,1,118.37,0,pos,South,food,Starbucks,2024-01-01 20:37:38,0
1070,T2070,C322,35.14,23.0,1,79.25,0,mobile,North,shopping,Target,2024-01-01 07:48:48,0
1073,T2073,C255,1.8,40.0,1,102.83,0,pos,North,food,Target,2024-01-01 12:43:00,0
1084,T2084,C234,289.56,43.0,1,3.38,0,mobile,North,electronics,Target,2024-01-01 22:44:00,0
1088,T2088,C114,70.865,62.0,1,23.96,0,mobile,East,Unknown,BestBuy,2024-02-01 03:06:00,0
1090,T2090,C127,286.0,58.0,1,100.03,0,pos,East,grocery,Starbucks,2024-01-01 10:54:15,0
1091,T2091,C442,104.88,64.0,1,115.15,1,mobile,West,electronics,Starbucks,2024-01-01 14:37:00,0
1092,T2092,C349,93.58,20.0,1,94.77,0,pos,West,food,Unknown,2024-01-01 08:12:00,0
1094,T2094,C494,26.22,28.0,1,125.68,0,mobile,West,shopping,BestBuy,2024-01-01 01:33:00,0
1097,T2097,C246,20.63,61.0,1,78.7,0,pos,East,travel,Amazon,2024-01-02 02:51:00,0
1098,T2098,C190,151.22,62.0,1,28.6,0,pos,West,shopping,Amazon,2024-01-01 07:25:25,0
1100,T2100,C232,5.96,30.0,1,122.65,1,pos,North,electronics,Amazon,2024-01-01 12:14:32,1
1111,T2111,C303,25.42,34.0,1,183.94,0,pos,West,electronics,Walmart,2024-01-01 13:04:00,0
1115,T2115,C251,86.77,32.0,1,137.94,1,web,South,grocery,Walmart,2024-01-01 00:20:00,0
1121,T2121,C127,311.57,68.0,1,99.68,1,mobile,North,grocery,Unknown,2024-01-01 14:32:00,0
1125,T2125,C284,80.04,52.0,2,78.33,0,web,East,Unknown,Walmart,2024-01-01 15:51:00,0
1153,T2153,C210,113.99,67.0,1,146.03,0,pos,East,food,BestBuy,2024-01-01 10:39:00,0
1156,T2156,C109,17.27,45.0,1,112.53,0,pos,West,Unknown,Starbucks,2024-01-01 02:02:38,0
1158,T2158,C331,205.45,18.0,1,122.64,0,web,West,electronics,Starbucks,2024-01-01 23:14:00,0
1159,T2159,C448,2.97,52.0,1,86.69,0,pos,North,grocery,Walmart,2024-02-01 01:37:00,0
1175,T2175,C144,77.65,53.0,1,107.31,0,pos,West,electronics,Walmart,2024-01-01 10:38:09,0
1182,T2182,C426,100.14,33.0,1,91.95,0,pos,East,food,Walmart,2024-01-01 11:26:00,0
1184,T2184,C374,10.82,35.0,1,109.69,0,mobile,North,Unknown,BestBuy,2024-01-01 03:30:00,0
1191,T2191,C439,87.27,64.0,2,76.46,1,web,East,electronics,BestBuy,2024-01-01 04:31:13,0
1196,T2196,C167,70.865,34.0,1,112.29,0,pos,East,food,Walmart,2024-01-01 23:45:00,0
1197,T2197,C200,70.865,33.0,1,29.12,0,mobile,West,electronics,Unknown,2024-01-01 22:13:00,0
1198,T2198,C126,138.49,48.0,2,83.39,0,web,South,food,BestBuy,2024-01-01 20:55:00,0
1204,T2204,C424,67.07,54.0,1,148.9,0,web,South,food,Walmart,2024-01-01 09:08:00,0
1217,T2217,C338,114.1,43.0,1,152.09,0,mobile,East,food,Target,2024-01-01 15:25:00,0
1221,T2221,C355,16.38,35.0,1,122.05,1,mobile,North,food,BestBuy,2024-01-01 12:53:00,0
1239,T2239,C118,20.52,59.0,1,96.42,1,mobile,North,grocery,Unknown,2024-01-01 11:03:00,0
1242,T2242,C397,147.37,50.0,1,125.32,1,mobile,South,shopping,Starbucks,2024-01-01 05:12:00,1
1243,T2243,C193,186.29,53.0,2,133.53,0,pos,East,travel,Target,2024-02-01 02:13:26,0
1244,T2244,C470,143.14,53.0,1,-17.8,0,pos,South,shopping,Target,2024-01-01 14:26:00,0
1245,T2245,C230,98.41,35.0,1,34.29,0,mobile,East,electronics,Amazon,2024-01-01 21:37:00,0
1260,T2260,C282,31.33,66.0,1,67.62,1,pos,South,food,Starbucks,2024-01-01 11:20:16,0
1261,T2261,C363,159.73,61.0,1,83.5,0,web,West,shopping,Amazon,2024-01-01 15:41:00,0
1264,T2264,C137,1.17,43.0,1,146.22,0,web,South,shopping,BestBuy,2024-01-01 02:54:00,0
1268,T2268,C358,91.63,67.0,1,72.19,0,pos,West,travel,Walmart,2024-01-01 22:43:00,0
1274,T2274,C424,65.49,37.0,1,137.5,0,mobile,West,shopping,Starbucks,2024-01-01 04:13:00,0
1275,T2275,C102,11.09,43.0,1,15.66,0,mobile,West,Unknown,Starbucks,2024-01-01 05:48:00,0
1289,T2289,C346,8.18,43.0,1,138.64,1,pos,South,food,BestBuy,2024-01-01 08:27:00,0
1316,T2316,C284,74.74,43.0,1,143.03,0,mobile,West,travel,Walmart,2024-01-01 00:13:34,0
1317,T2317,C300,131.52,40.0,2,58.36,0,mobile,South,food,Amazon,2024-01-01 04:02:00,0
1318,T2318,C222,8.52,26.0,1,58.18,0,pos,East,travel,BestBuy,2024-01-01 10:30:00,0
1327,T2327,C258,155.92,35.0,1,108.65,1,web,West,shopping,Starbucks,2024-01-01 03:56:00,1
1335,T2335,C192,105.08,42.0,1,69.62,0,pos,South,travel,Starbucks,2024-01-01 11:43:00,0
1354,T2354,C486,66.68,28.0,1,57.3,1,mobile,North,grocery,Target,2024-01-02 01:14:00,0
1373,T2373,C219,67.78,26.0,1,91.91,0,mobile,West,grocery,BestBuy,2024-01-01 11:33:00,0
1379,T2379,C469,89.88,22.0,1,138.38,0,web,East,grocery,BestBuy,2024-01-01 12:08:00,0
1384,T2384,C433,106.93,40.0,1,117.55,0,web,East,grocery,BestBuy,2024-01-01 07:12:00,0
1387,T2387,C139,14.03,49.0,1,79.72,0,mobile,North,electronics,Starbucks,2024-01-01 12:19:58,0
1404,T2404,C323,109.01,24.0,1,105.33,0,mobile,West,electronics,Starbucks,2024-01-01 20:09:00,0
1417,T2417,C228,13.02,32.0,1,77.84,0,mobile,East,shopping,Amazon,2024-01-01 13:22:00,0
1433,T2433,C164,109.92,43.0,1,72.36,0,pos,West,shopping,Walmart,2024-01-01 12:30:00,0
1439,T2439,C399,111.91,66.0,1,101.03,1,mobile,East,grocery,Starbucks,2024-01-01 17:21:00,1
1446,T2446,C224,117.97,35.0,1,135.16,0,pos,West,food,Target,2024-01-01 10:35:55,0
1448,T2448,C142,289.34,58.0,1,43.99,0,mobile,South,grocery,Target,2024-01-01 12:49:00,0
1449,T2449,C489,114.96,25.0,2,63.33,1,mobile,East,food,BestBuy,2024-01-01 06:18:00,0
1453,T2453,C292,84.54,46.0,1,86.67,0,pos,North,food,BestBuy,2024-01-01 02:53:00,0
1461,T2461,C441,105.34,52.0,1,20.46,0,web,South,shopping,Unknown,2024-01-01 20:35:00,0
1466,T2466,C301,70.865,43.0,1,100.4,0,mobile,East,shopping,Amazon,2024-01-01 20:55:00,0
1478,T2478,C151,159.86,19.0,1,16.4,0,mobile,West,food,BestBuy,2024-01-01 13:33:00,0
1480,T2480,C354,170.28,30.0,1,46.49,0,mobile,West,electronics,Unknown,2024-01-01 10:51:00,0
1488,T2488,C153,49.19,23.0,1,37.68,0,web,South,food,Starbucks,2024-01-01 07:31:00,0
1490,T2490,C226,27.12,66.0,1,117.4,0,web,West,Unknown,BestBuy,2024-01-01 22:43:00,0
1492,T2492,C484,25.78,20.0,1,95.17,0,pos,North,food,Starbucks,2024-01-01 07:40:00,0
1508,T2508,C441,93.63,35.0,1,139.18,0,pos,West,grocery,Target,2024-01-02 01:28:00,0
1509,T2509,C343,144.77,29.0,1,122.12,0,pos,East,food,Target,2024-01-01 17:34:00,0
1511,T2511,C129,126.63,58.0,1,93.85,1,web,West,electronics,Starbucks,2024-01-01 21:06:00,0
1514,T2514,C342,21.79,43.0,2,142.92,0,pos,West,travel,Starbucks,2024-01-01 05:25:00,0
1518,T2518,C361,27.9,52.0,1,-2.55,0,pos,North,food,Walmart,2024-01-01 21:17:00,0
1522,T2522,C357,43.33,63.0,1,23.57,0,mobile,North,travel,Target,2024-01-01 03:16:00,0
1524,T2524,C147,66.53,52.0,1,103.77,0,pos,East,food,Unknown,2024-01-01 18:06:42,0
1529,T2529,C423,77.47,58.0,1,112.11,0,mobile,East,electronics,Amazon,2024-01-01 09:16:00,0
1530,T2530,C176,37.3,60.0,1,75.83,0,mobile,North,travel,Unknown,2024-01-01 16:21:00,0
1535,T2535,C324,13.0,68.0,1,121.45,0,web,West,food,Target,2024-01-01 06:11:00,0
1549,T2549,C178,100.28,65.0,1,82.07,0,mobile,North,shopping,Unknown,2024-01-01 20:17:00,0
1551,T2551,C216,92.03,20.0,1,89.95,0,mobile,North,electronics,Walmart,2024-01-01 14:44:00,0
1562,T2562,C247,151.65,23.0,1,175.46,1,pos,West,electronics,BestBuy,2024-02-01 01:31:21,0
1567,T2567,C217,10.04,34.0,1,132.57,1,pos,West,electronics,Amazon,2024-01-01 00:42:00,0
1568,T2568,C101,97.78,57.0,1,123.66,0,mobile,East,Unknown,Walmart,2024-01-01 19:33:00,0
1572,T2572,C344,133.51,56.0,1,54.88,1,mobile,West,food,Unknown,2024-01-01 04:09:00,0
1575,T2575,C272,10.06,63.0,1,68.23,0,web,South,Unknown,Walmart,2024-01-02 00:27:00,0
